project;plan
breadcrumbs_visibility;"This module is Drupal 9 compatible! See [#3130315]"
miniorange_2fa;"<strong>This (8.x) module is compatible with Drupal 9.</strong>"
miniorange_oauth_client;"<strong>Currently no known issues with Drupal 9.</strong>"
hide_submit_d8;"8.x-1.1 release is compatible with Drupal 9."
country_state_city;"Module is compatible with Drupal 9."
user_field_value;"I think views core should merge this."
template_whisperer;"Template Whisperer is already ready for Drupal 9 - see the issue [#3090756]"
layout_options;"This module passes the check-drupal tests for deprecated functions.  Unless there are major changes in the core Layout structure, this should work fine with 9."
custom_markup_block;"This module is compatible with Drupal 9 from version 1.1 onwards"
google_calendar;"The module is ready for Drupal 9."
smart_read_more_link;[#3082517]
commerce_purchase_order;"D9 compatible and verified by automated testing."
image_base64_formatter;[#3082557]
taxonomy_bootstrap_accordion;"This module is Drupal 9 ready!"
pcr;"This module is ready for Drupal 9!"
custom_breadcrumbs;"Drupal 9 is also supported!"
image_slider;"Module is compatible with Drupal 9."
simple_facebook_pixel;"This module is Drupal 9 ready."
views_flexbox;"This project has been marked as compatible with Drupal 9. See [#3125649]"
twitter_profile_widget;"This module is Drupal 9 Compatible! See [#3130323]"
ckeditor_accessibility_auditor;"This module is ready for Drupal 9."
cookie_content_blocker;"8.x-1.6+ is Drupal 9 compatible."
marketing_cloud;"This project is Drupal 9 ready"
foldershare;"FolderShare is compatible with Drupal 9 since 1.4+ and maintains compatibility with Drupal 8.7+"
external_data_source;"Porting this project to D9 will start with Drupal 8.9 first release ."
recurring_donation;"Release <code>8.x-2.1</code> is D9 compatible!"
twigjs;"This module is compatible with Drupal 9 from version 1.1."
layout_builder_simplify;"D9 compatible."
media_thumbnail_url_formatter;"media_thumbnail_url_formatter >= 2.0.0 supports Drupal 9."
prev_next;"Previous/Next API 8.x-2.0-alpha1+ supports Drupal 9."
twig_debugger;"This module is Drupal 9 compatible 🍻"
entity_overlay;"8.x-1.x is Drupal 9 compatible."
vuejs;"The module is compatible with Drupal 9 since 8.x-1.0-rc3."
library;"The 1.x branch is D9 compliant."
block_classes;"This module is Drupal 9 compatible 🍻"
logouttab;"The module is compatible with 9.0"
webform_civicrm;"Webform CiviCRM 8.x-5.x-dev is being developed with Drupal 9 in mind. So not ready yet but hopefully heading in the right direction. CiviCRM itself will require some dependency bumps (most notably symfony -> ^4.4)"
purge_queues;"This module is compatible with Drupal 9."
webform_select_collection;"Drupal 9 ready"
varbase_api;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_api?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
cookies;"Drupal 9 natively supported."
rules_data_exchanger;"The module cannot be compatible with Drupal 9 until the Rules module will be compatible. See https://www.drupal.org/project/drupal/issues/3126747"
form_display_field_machine_name;"Form Display Field Machine Name 8.x-1.2+ supports Drupal 9. Enjoy."
paragraphs_modal_edit;"This module is ready for D9!"
cloudfront_purger;"The 8.x-1.x branch is compatible with Drupal 9."
elevatezoomplus;"ElevateZoom Plus 8.x supports Drupal 9. Enjoy."
config_readonly_menu_ui;"This module is Drupal 9 ready."
user_login_persistent_destination;"Ready for Drupal 9 :-)"
freelinking;"8.x-3.x-dev is compatible with Drupal 8.8.0 or greater. The <strong>advanced_help</strong> module is not Drupal 9 compatible yet."
production_checklist;"8.x-1.x is Drupal 9 compatible."
format_bytes;"Works out of the box with Drupal 9"
redirect_after_registration;"Not yet started."
drd;"This project is ready for Drupal 9"
metatag_google_scholar;"No known Drupal 9 compatibility issues."
layout_builder_operation_link;"Drupal 9 ready."
show_email;"Show Email Address 8.x-1.0+ supports Drupal 9."
webform_remote_handlers;"Work in progress to fully support this module in Drupal 9"
flat_taxonomy;"Compatible with Drupal 9 from 8.x-1.2 release."
cryptolog;"The 8.x-1.x branch of this module supports Drupal 9."
paragraphs_preview_helper;"Drupal 9 supported from version 8.x-1.2 forward."
config_suite;"Config Suite Supports Drupal 9 as of 1.14."
qa_accounts;"The 8.x-dev release is D9-compatible"
drulma;"Latest version is compatible with Drupal 9"
mailchimp_popup_block;"The module is Drupal 9 compatible."
workbench_tabs;"This project is Drupal 9 ready."
admin_menu_search;"Drupal 9 compatible from 8.x-1.1 version."
field_load_more;"Field load more 8.x-2.0+ supports Drupal 9."
access_filter;"Ｄｒｕｐａｌ 9 has been supported since version 8.x-1.3."
closeblock;"<a href=""https://www.drupal.org/project/closeblock/issues/3103467"">#3103467: Add new key core_version_requirement in closeblock.info.yml</a>"
animated_scroll_to;"The dev version and the 1.3 branch is compatible with Drupal 9 requirements."
raw_formatter;"2.0.0 is Drupal 9 compatible."
one_time_password;"This project is compatible with Drupal 9."
logout_redirect;"Fully Drupal 9 compatible as of 8.x-1.x."
drupalauth4ssp;"No known compatibility issues"
ldap_auth;"<strong>Currently no known issues with Drupal 9.</strong>"
config_auto_export;"This project is ready for Drupal 9"
look;"This module is Drupal 9 compatible."
coffee_mediteran;"Supports Drupal 9"
search_api_saved_searches;"As the Drupal 8 version is still in early Alpha, it cannot be said when this project will properly work at all, for either Drupal 8 or 9. But as much as possible, it shouldn’t rely on D8-specific code and keep fully compatible with Drupal 9. A Drupal 9-compatible release (whether Alpha or Beta remains to be seen) will be made in advance of the Drupal 9.0.0 release. See [#3123391]."
markup_twig;"This module is Drupal 9 compatible in the latest branch."
video_embed_spotify;"2019-07-31: No drupal-check errors in this module"
cocoen_beforeafter;"Drupal 9 is also supported."
webform_mautic;"Ready for Drupal 9."
mongodb;"As of release 8.x-2.1-alpha1, this project is already Drupal 9-compatible. A Drupal 9 stable release will be published once Drupal 9.0.0 is released. Report any discovered issues with the dev. or alpha versions in the meantime."
d8_recaptcha_v3;"This module is compatible with Drupal 9."
galleryslider;"Pledge to have it ready before the Drupal 9 release date."
rewrite_field;"2.x branch is compatible with D9. [#3141551]"
entitygroupfield;"Supports Drupal 8.8.x through 9.0.x."
smart_date_starter_kit;"This module only provides configuration, so nothing should be need to be updated for Drupal 9."
simple_entity_merge;"Compatible with Drupal 9 since version 8.x-1.1"
requirement;"8.x-1.1+ is Drupal 9 compatible."
jquery_ui_selectmenu;"8.x-1.2+ is Drupal 9 compatible."
seeds_coat;"Seeds Coat supports Drupal 9. Enjoy."
computed_field_plugin;"This module is compatible with D9, yay!"
scrollbar;"This module is ready for 9.x.  Please test and give your feedback at issue <a href=""https://www.drupal.org/node/3128873"">Drupal 9.x feedback</a>."
node_delete_redirect;"The module is Drupal9 ready"
oauth_login_oauth2;"Currently no known issues with Drupal 9"
redirect_node;"This project is compatible with Drupal 9!"
video_embed_panopto;"The module is Drupal 9 compatible."
domain_menus;"Use 8.x-2.0."
tr_rulez;"This module is D9 compatible."
analytics;"This module is Drupal 9 ready!"
webform_iban_field;"This module should be ready for D9. See issue [#3124105]."
rules_send_big_email;"The module cannot be compatible with Drupal 9 until the Rules module will be compatible. See https://www.drupal.org/project/drupal/issues/3126747"
system_tags;"Full support as of 8.x-1.8."
user_online_status;"User Online Status is ready for Drupal 9."
sel;"Safe External Links is compatible with Drupal 9"
layout_builder_blocks;"Ready for Drupal 9!"
npm;"Drupal 9 support in [#3131895]"
tca;"This module already supports Drupal 9"
linkit_media_library;"This module is Drupal 9 compatible"
apigee_m10n;"Apigee Monetization <strong>8.x-1.5</strong> is ready for Drupal 9.  See https://github.com/apigee/apigee-edge-drupal/issues/393 for Apigee Edge."
taxonomy_max_depth;"Drupal 9 is supported since 8.x-1.1."
commerce_shipping_weight_tariff;"Module versions from <strong>8.x-2.0-alpha1+</strong> are Drupal Core <strong>8.8.*+</strong> compatible Module versions till <strong>8.x-1.0-alpha5</strong> are compatible with Drupal Core <strong>8.5 - 8.7</strong>"
auto_alter;"Version 8.x-1.10 and above are Drupal 9 compatible!"
private_taxonomy;"The Private Taxonomy project has been ported to Drupal 9."
scrollup;"This module is ready for Drupal 9 (<a href=""https://www.drupal.org/project/scrollup/issues/3148699"" title=""#3148699 Automated Drupal 9 compatibility""><del>#3148699 Automated Drupal 9 compatibility</del></a>)"
workflow_buttons;"Avoiding deprecated functions; expected to work with Drupal 9."
gpx_track_elevation;"Starting with version 8.x.1.1, ""GPX Track & Elevation Modules"" is compatible with Drupal 9."
saml_extras;"SAML extras 8.x-1.4+ supports Drupal 9. Enjoy."
stripe_checkout;"The 8.x-2.x branch of this module is Drupal 9 compatible."
smart_date_calendar_kit;"This module is Drupal 9 ready."
role_specific_user_block;"Role Specific User Block 8.x-1.x supports Drupal 9. Enjoy."
orejime;"Orejime is Drupal 9 compatible."
gsaml;"This module <a href=""https://www.drupal.org/project/gsaml/releases/8.x-2.1"">8.x-2.x</a> release is already fully compatible with Drupal 9!"
dimension;"This project is ready for Drupal 9"
bootstrap_horizontal_tabs;"Read about this project's readiness at [#3130321]"
commerce_stock_notifications;"Commerce Stock Notifications 8.x-1.x is Drupal 9 ready. Enjoy."
cyrillic_to_latin;"This module is Drupal 9 ready."
mapycz;"Module is Drupal 9 compatible."
backerymails;"Backerymails <code>2.x</code> is fully compatible with Drupal 9."
views_published_or_roles;"Views Published or Roles supports Drupal 9."
fixed_path_alias;"Done as part of [#3086814]"
translate_side_by_side;"2019-07-31: No drupal-check errors in this module"
simple_password_reveal;"Drupal 9 ready!"
bootstrap_italia;"Waiting for Components 2.0 https://www.drupal.org/project/components"
layout_builder_tabs;"This module is ready for Drupal 9."
flag_lists;"4.0.0-beta8 has been tested and fixed for Drupal 9 with <a href=""https://www.drupal.org/project/upgrade_status"" title=""Upgrade Status"">Upgrade status</a>."
user_account_language_negotiation;"Fully compatible with Drupal 9 since release 8.x-1.4."
handsontable_yml_webform;"Fully compatible. Use release 8.x-1.2 of this module."
revive_adserver;"The module is Drupal 9 compatible."
leaflet_geojson;"1.4+ is compatible with D9"
node_view_language_permissions;"2019-07-31: No drupal-check errors in this module"
page_menu_reorder;"Ready for Drupal 9"
popup_onload;[#3083925]
bootstrap4_modal;"This module is Drupal 9 ready <a href=""https://www.drupal.org/project/bootstrap4_modal/issues/3122876"">https://www.drupal.org/project/bootstrap4_modal/issues/3122876</a>"
regcode_simple;"Release <code>8.x-1.4</code> is compatible with Drupal 9."
piwik_noscript;"The 8.x-1.x branch of this module supports Drupal 9."
flexible_views;"The code of this project is Drupal 9 ready!"
xbbcode;"Version 4.0.0 of this module is fully compatible with Drupal 9 and Drupal 8.8+."
happy_new_year;"8.x-1.3+ is Drupal 9 compatible."
view_entity_ref_field_formatter;"This should be in core !"
direct_checkout_by_url;"This module has no known compatibility issues with Drupal 9"
term_merge_manager;"This module is fully compatible with Drupal 9."
views_birthday;"Drupal 9 compatible"
custom_checkboxes;"This module is already compatible with Drupal 9."
navigation_blocks;"8.x-1.0-alpha22+ is Drupal 9 compatible."
bundle_redirect;"Bundle redirect module is ready for Drupal 9."
theme_color_meta_tag;"This project will be ported to Drupal 9 soon."
shortcut_menu;"Compatible with Drupal 9"
rut;"This module is Drupal 9 ready"
io;"Intersection Observer 8.x supports Drupal 9. Enjoy."
vimeo_upload;"8.x-1.x is Drupal 9 compatible."
fepper;"8.x-3.0+ is compatible with Drupal 9."
svg_embed;"This project is ready for Drupal 9"
paypal_payment;"This project is ready for Drupal 9"
splash_redirect;"This module is compliant with all current Drupal Coding Standards and Module Documentation Guidelines as of Drupal 8.8.x. Barring any significant update to Core or Symfony ahead of the Drupal 9 release, splash_redirect should be usable with D9."
organigrams;"8.x-1.0-beta2 is compatible with Drupal 9."
commerce_funds;"This module is Drupal 9 ready."
image_focus;"Drupal 9 is also supported."
custom_add_content;"This module is already compatible with Drupal 9."
hover_effects;"Available for Drupal 9"
jira_issue_collector;"Jira Issue Collector is Drupal 9 compatible."
entity_toolbar;"This module is compatible with Drupal 9."
entity_route_context;"Project is compatible with Drupal 9. Update to version 3. 3.x branch is a drop in replacement for 1.x branch."
content_moderation_bypass;"Should be all set. Current version has been updated and tested. File an issue if you find one. Patches appreciated."
contextual_filter_range_validator;"<a href=""https://www.drupal.org/project/contextual_filter_range_validator/releases/8.x-1.1"">Views Contextual Filter Validator: Number Range 8.x-1.1</a> supports Drupal 9."
google_index_api;"Drupal 9 is fully supported since version 8.x-1.1."
install_profile_generator;"Drupal 9 is supported on the 3.0.x branch The 8.x-2.x branch cannot be run on Drupal 9, but install profiles generated can subsequently be installed on a Drupal 9 code base."
custom_translation_deployments;"This module is 100% compatible with Drupal 9"
slick_carousel_slider;"Available for Drupal 9."
math_field;[#3083212]
smart_title;"Smart Title is compatible with Drupal 9."
ipstack;"This module is ready for Drupal 9!"
fvm;"This module is fully compatible with Drupal 9."
available_updates;"Available Updates supports Drupal 9."
helloworld;[#3082507]
social_auth_apple;"This module is fully compatible."
tasty_backend;"Drupal 9 support has been added in 8.x-1.0-beta3."
fasttoggle;"8.x-3.0-rc2+ is Drupal 9 compatible."
twitter;"Use this project instead: <em>TBD</em>"
field_time;"This module is fully compatible with drupal 9"
permission_spreadsheet;"Ｄｒｕｐａｌ 9 has been supported since version 8.x-1.1."
iframeremove;"IFrame Remove Filter 8.x-1.1 or higher supports Drupal 9."
bugherd;"D9 ready"
advanced_help_hint;"No decision about a Drupal 9 version has been made yet. <strong>Help Topics</strong> may make this project obsolete. See [#2920309] )."
materialize_datetime_picker;"Module is compatible with Drupal 9."
commerce_price_updater;"This module is Drupal 9 ready."
botscout;"Compatible if using version 8.x-2.1 or above"
drulma_companion;"Latest version is compatible with Drupal 9"
miniorange_saml_idp;"Currently no known issues with Drupal 9."
webform_views_extras;"The module will support Drupal 9."
bbr;"This module is ready to use on Drupal 9 as an experimental code. Once all bugs will be fixed an stable release will be done."
skins;"Skins is compatible with Drupal 9 starting with release 8.x-1.0-rc1."
watchdog_delete_filter;"This module has been checked and passed the tests for correctness and Drupal 9 deprecation errors provided by Drupal Check PHPStan tool: <a href=""https://github.com/mglaman/drupal-check"">https://github.com/mglaman/drupal-check</a>"
rng_conflict;"Not yet."
pwned_passwords;"The maintainer will trying to keep the module D9 ready from the launch day. Please report any issues and follow the D9 port in this issue: [#3091420]"
bigvideo;"<a href=""https://www.drupal.org/project/bigvideo/issues/3103472"">#3103472: Add new key core_version_requirement in bigvideo.info.yml</a>"
create_and_translate;"This module is Drupal 9 compatible."
entity_save_and_addanother;"This module is Drupal 9 compatible 🍻"
featurepolicy;"Compatible with Drupal 9"
multiple_select;"This module is already fully compatible with Drupal 9!"
shortcode_social;"Drupal 9 is supported for version 8.x-1.1 and above"
media_field_formatters;"Compatible as of 8.x-1.0-rc3."
discourse_sso;"This project is ready for Drupal 9"
stripe_registration;"The 8.x-1.x branch of this module is Drupal 9 compatible."
linkchecker;"Read more about this project’s readiness at [#3094762]"
panache;"This theme is ready for Drupal 9 as of <a href=""https://www.drupal.org/project/panache/releases/8.x-1.1"">verison 1.1</a>!"
lazy_image_style;"The current module version is ready to run!"
selection_sharer;"Working with Drupal 9."
bootstrap_pointnet;"As soon as the main theme, Bootstrap 8.x, will be compatible with Drupal 9 I will start the conversion of this sub-theme"
migrate_media_handler;"Drupal 9 Port in progress/review."
civicccookiecontrol;"This module is compatible with drupal 9."
yg_freelancer;"Theme is Drupal 9 Ready!"
entity_repository;"Entity Repository 2.0.0 is Drupal 9 compatible."
zooming;"Zooming 8.x supports Drupal 9. Enjoy."
webform_attachment_gated_download;"This project should work with Drupal 9. Please post any issues, with or without patches, and they will be resolved."
alexa;"Drupal 9 compatible since version 1.0-rc2"
link_field_display_mode_formatter;"The module is compatible with Drupal 9"
libraries_provider;"Module is compatible with Drupal 9"
bootstrap_storybook;"Drupal 9 ready, requires components:^2.0 module"
imce_private;"2019-10-15: No drupal-check errors in this module"
o365;"This module is compatible with Drupal 9"
user_history;"<strong>This module is ready for Drupal 9 when it arrives.</strong>"
fixteaserlinks;"Release 8.x-1.0 is believed to be fully compatible."
simple_live_css;"This module is Drupal 9 ready!"
email_formatter;"Planned at some point"
bibcite_migrate;"Currently no known Drupal 9 compatibility issues in latest dev."
bibcite_crossref;"Currently no known Drupal 9 compatibility issues in latest dev."
webpack;"Drupal 9 issue [#3131906]"
govuk_notify;"This module works with Drupal 9."
loqate;"Releases <code>8.x-1.6-alpha1</code> and <code>2.0.0</code> are D9 compatible!"
wisski;"Branch 8.x-2.x is fully D9 compatible - work will continue there :)"
group_content_menu;"Support Drupal 8 and Drupal 9."
auctions;"Drupal 9 ready from the start!"
yandex_yml;"The current module version is ready to run."
dan;"Ready for Drupal 9"
logo_image_style;"Logo image style is fully compatible with Drupal 9!"
extlog;"This module <a href=""https://www.drupal.org/project/extlog/releases/8.x-1.4"">8.x-1.4</a> release is already fully compatible with Drupal 9!"
condition_field;"Condition Field 8.x-1.2 supports Drupal 9."
security_login_secure;"Currently no known issues with Drupal 9"
commerce_quick_edit;"This module is Drupal 9 ready."
webform_prepopulate;"8.x-1.x is Drupal 9 compatible"
node_auto_expire;"This module is ready for Drupal 9."
tota11y;"Branch 3.0.0 is Drupal 9 ready!"
jumper;"Jumper (Jump Anywhere) 8.x supports Drupal 9. Enjoy."
group_purl;"This project is ready for Drupal 9!"
course;"D9 work is also happening during the D8 port."
recurly;"Drupal 9 support was added in [#3071817], but if anything was missed, please report it in a new issue (but check for similar issues first)."
link_fix_absolute_urls;"The module is fully compatible with D9."
ajax_requirement;"This module is 100% compatible with Drupal 9."
eus;"End user session 8.x-1.x supports Drupal 9. Enjoy."
outlayer;"Outlayer 8.x supports Drupal 9. Enjoy."
file_history;"This module are D9 ready !"
christmas_lights;"Compatible with Drupal 9"
video_embed_media_player;"Fully compatible with Drupal 9!"
views_negate;"Views Negate 8.x-1.1+ supports Drupal 9. Enjoy."
flatcomments;"Compatible with Drupal 9"
partial_multi;"This project is Drupal 9 compatible."
sticky_toolbar;"This module is Drupal 9 ready."
paypal_subscriptions;[#3084836]
services_menu;"Drupal 9 Compatible"
captcha_questions;"Captcha Questions 8.x-1.3+ supports Drupal 9. Enjoy."
doccheck_basic;"2019-07-31: No drupal-check errors in this module"
ccos;"This module is fully compatible with Drupal 9 from the initial release itself."
entity_dialog_formatter;"D9 ready"
media_delete_all;"8.x-2.x is Drupal 9 compatible"
webform_alias_container;"This will not be ported to Drupal 9"
php_password;"The latest release should support Drupal 9. Please report any issues."
enhanced_button_link;"Enhanced Button Link 8.x-1.0+ supports Drupal 9."
ui_patterns_field_formatters;"Already compatible (no deprecated API & core_version_requirement is set)"
taxonomy_place;"This module should be Drupal 9 compatible."
callus;[#3125091]
cookiebot_gtm;"Drupal 9 ready"
jstree_menu;"This module is already compatible with Drupal 9."
prometheus_exporter;"The 8.x-1.x branch is compatible with Drupal 9"
create_new_entity_reference_permission;"Drupal 9 compatible!"
dwr;"Module should be compatible with Drupal 9."
ckeditor_layout_manager;"This module is drupal 9 ready."
lightship;"This theme is Drupal 9 ready."
hierarchy_manager;"Hierarchy Manager 2.0.0 supports Drupal 9."
commerce_coinpayments;"Commerce Coinpayments 8.x-1.1+ supports Drupal 9. Enjoy."
disable_browser_back_button;"Fully Drupal 9 compatible as of 8.x-1.x."
simpleads;"Drupal 9 version support is available for purchase https://downloads.minnur.com/drupal/simpleads"
image_background_formatter;"Drupal 9 is also supported."
paragraphs_type_help;"Use version 2.x of this module"
block_background_style;"Drupal 9 compatible"
nodeownership;"<strong>Parially supported</strong> <strong>8.x-1.2+</strong> will be a Drupal 9 compatible."
brreg_api;"This project is 100% compatible with Drupal 9"
change_user_route;"3.0.x is Drupal 9 compatible"
dblog_persistent;"As of version 2.0.0, this module is compatible with Drupal 9."
paragraphs_button;"8.x-1.1 is compatible with Drupal 9."
graphql_entity_by_object;"This module is ready for D9!"
facebookoembed;"No plan to port to Drupal 9"
media_sitemap;"Media sitemap 8.x-1.0+ supports Drupal 9."
xhprof;"Help improve it at [#3121379]"
stylescomboplus;"Styles Combo Plus is Drupal 8 and Drupal 9 ready."
erl_restriction;"This module is ready for D9!"
term_quick_edit;"Term Quick Edit supports Drupal 9. Enjoy."
syncer;"Supports D9."
snowflakes;"Ready for Drupal 9 :-)"
druppio_small_business;"This theme is Drupal 9 ready."
email_attachment;"This module currently doesn't use deprecated code according to Matt's <code>drupal-check</code> and is thus ready for Drupal 9."
wikipedia_client;"This module should be Drupal 9 compatible."
expose_status;"<p>As of version 8.x-1.0-beta6, this module is usable, and tested on CircleCI, with Drupal 9. We check for deprecated code using a <a href=""https://github.com/dcycle/docker-drupal-check"">dockerized version</a> of <a href=""https://github.com/dcycle/docker-drupal-check"">Drupal Check</a>.</p>"
commerce_pvt;"Ready to roll out on D9, cleaned code and <strong>drupal-checked</strong>-ed it."
yg_profile;"Theme ready for D9"
modal_widget;"This module is Drupal 9 ready."
social_contact_info;"Compatible with Drupal 9"
text_block;"This module is fully compatible with Drupal 9."
page_attributes;"It will be availble for D9 upon its official release"
ik_constant_contact;"Is Drupal 9 ready as of 2.0.1"
iubenda_integration;"Help port this project reviewing issue [#3093568]"
field_group_metadata;"This module is fully ready for Drupal 9!"
video_embed_field_plyr;"This module should work on Drupal 9 after the module info and composer.json are updated."
social_links;"Supported as of 8.x-2.0!"
commerce_multisafepay;"This module is Drupal 9 ready."
view_user_email;"1.x.x is compatible with Drupal 9."
comment_approver;"Comment approver 8.x-1.x-dev supports Drupal 9. Enjoy."
geocoder_ajax_prepopulate;"This module is Drupal 9 ready."
decoupled_kit;"This module is ready for Drupal 9!"
page_popup;"Already compatible (no deprecated API & core_version_requirement is set)"
gitinfo;"Tested on Drupal 9 and confirmed to be fully functional."
content_editing_message;"This module is already fully compatible with Drupal 9!"
transaction_workflow;"This module is compatible with Drupal 9 from version 1.0-beta1 onwards"
age_exposed_filter;"The module is ready for Drupal 9."
web_page_archive;"Drupal 9 support is underway: [#3112530]"
google_webfonts_helper;"No deprecation usage."
comment_reply_count;"Comment Reply Count 8.x-1.2+ supports Drupal 9. Enjoy."
braintree_cashier;"The Drupal 9 version of Braintree Cashier will probably be much leaner in order to improve maintainability. It will focus on only essential features, such as signing up with Braintree's Drop-in UI, listing charges, enabling cancelation with an optional cancel message, supporting free trials, email notification of upcoming free trial expiry, optionally accepting PayPal, and optionally disallowing the use of the same payment method on multiple accounts. Features that will probably not be implemented include discounts, PDF invoices, Views to display billing plans, localized display of currency, and switching between billing plans."
bootstrap4_tools;"Version 2.0+ is compatible with Drupal 9."
custom_elements;"The module is compatible with Drupal 9 since beta1, however more testing is needed, see [#3169071]"
ckeditor_datetime;"This module is Drupal 9 ready"
commerce_otpsp;"Help port this project at [#3099573]"
instagram_field;"2019-07-31: No drupal-check errors in this module"
taarikh;"8.x-1.0-alpha3 is compatible with Drupal 9"
ui_styles;"Already compatible (no deprecated API & core_version_requirement is set)"
adnuntius;"The module is compatible with Drupal 9."
lupus_ce_renderer;"The module is compatible with Drupal 9 since beta1, however more testing is needed, see [#3151711]"
layout_builder_customizer;"This module is Drupal 9 compatible 🍻"
popin;"This module is fully compatible with drupal 9."
birthday_wish_mail;"This module is fully compatible with Drupal 9!"
otp_verification;"Currently no known issues with Drupal 9."
tag_formatter;"This module is ready for Drupal 9."
block_country;"This module is ready for Drupal 9 as of <a href=""https://www.drupal.org/project/block_country/releases/2.0.0"">Version 2.0.0</a>!"
graphql_responsive_image;"This module is ready for D9!"
ex_icons;"This module is compatible with Drupal 9."
advanced_scroll_top;"Available for Drupal 9."
group_webform;"Drupal 9 readiness added"
smartmenus;"* There are no plans for a Drupal 9 version of this module."
rating_field;"This module should be ready for D9 as there is no deprecated code and works with 8.7.6 as well."
govuk_theme;"Fully ported to Drupal 9"
timetable_cron;"This module is Drupal 9 ready."
ajaxin;"Ajaxin 8.x supports Drupal 9. Enjoy."
quote;"8.x-2.0-rc1+ is Drupal 9 compatible."
views_argument_validator_regex;"<a href=""https://www.drupal.org/project/views_argument_validator_regex/releases/8.x-1.0"">Views Contextual Filter Validator: Regular Expression (regex) v8.x-1.0</a> supports Drupal 9."
counter_on_scroll;"Available for Drupal 9."
aws_sqs;"The module is supporting Drupal 8.8 and higher versions."
mobile_app_links;"This module is D9 ready."
hax;"This is already ready for Drupal 9."
httpswww;"No know issues with Drupal 9."
commerce_trustedshops;"Commerce TrustedShops is ready for Drupal 9"
site_per_path;"This module is ready for Drupal 9."
barebones_enhanced;"This theme is compatible with Drupal 9."
govuk_webform_elements;"Fully ported to Drupal 9"
dynamic_menu_item;"Module version <code>1.0-beta1</code> is Drupal 9 compatible. See issue [#3138812] for more details."
claim_on_registration;"Version 1.6+ supports Drupal 9. See [#3139831] for more details."
ckeditor_preview;"Drupal 9 compatible."
call_now_button;"This module is Drupal 9 compatible 🍻"
graphql_menu;"8.x-1.x is Drupal 9 compatible."
commerce_checkoutcom;"This module is Drupal 9 ready"
extra_field_configuration;"This module is compatible with Drupal 9."
sarbacane;"This module is Drupal 9 ready."
easy_layouts;"Easy Layouts supports Drupal 9."
mortgage_calculator;"Edit Real Estate Mortgage Calculator is compatible with Drupal 9."
text_rotator_filter;"Drupal 9 is fully supported."
mobile_native_share;"Mobile Native Share supports Drupal 9. Enjoy."
bibcite_altmetric;"Currently no known Drupal 9 compatibility issues in latest dev."
follow_unfollow;"-Ported in drupal 9"
uc_pdf_invoice_mail;"Module fully compatible with Drupal 9."
simple_lazyloader;"Help port this project at [#3088976]"
ui_examples;"Already compatible (no deprecated API & core_version_requirement is set)"
user_password_randomizer;"Compatible with Drupal 9"
carryquery;"8.x-1.x-dev is now Drupal 9 compatible."
time_spent;"This module is ready for Drupal 9."
big_pipe_demo;"This module is ready for Drupal 9 as of <a href=""https://www.drupal.org/project/big_pipe_demo/releases/8.x-1.3"">version 1.3</a>!"
potion;"Potion is ready for Drupal 9"
entity_edit_redirect;"fully compatible since v1.6"
search_api_grouping;"This module is ready for D9!"
announcement_modal;"This module is Drupal 9 compatible."
popper_js;"This module is now superfluous and aspects are integrated into Drupal core."
ctc;"Clear Cache Tag 8.x-1.x supports Drupal 9. Enjoy."
admin_can_login_anyuser;"Module is compatible with Drupal 9."
muuri;"Release <code>8.x-1.2</code> is D9 compatible!"
welcome_mail;"This module is compatible with Drupal 9"
vefta;"This module will not be available for drupal 9, use video_embed_field instead."
burndown;"This module is Drupal 9 ready."
invoice_agent;"Read more about this project’s readiness at [#3090689]."
licensing;"The 8.x-1.x branch of this module is compatible with Drupal 9."
wistia;"8.x-1.x and 2.x are Drupal 9 compatible."
quicker_edit;"The maintainer will try to keep the module D9 ready from the stable release day. See [#3091733]"
word_monitor;"<p>This module is usable, and tested on CircleCI, with Drupal 9. We check for deprecated code using a <a href=""https://github.com/dcycle/docker-drupal-check"">dockerized version</a> of <a href=""https://github.com/dcycle/docker-drupal-check"">Drupal Check</a>.</p>"
vegas;"[#2923825] will make this module Drupal 9 ready."
twitter_api;"The 8.x-1.x branch supports Drupal 9"
commerce_multisafepay_payments;"This module is Drupal 9 ready."
foldershare_rest;"Adds drupal 9 compatibility, now requires drupal 8.7+, includes client bug fixes."
roundabout;"<p>This module has no identified issues and should be ready.</p>"
simple_like_button;"Fully compatible with Drupal 9"
multilingual_google_web_translator;"Ported to D9"
login_frequency;"Drupal 9 compatible from 8.x-1.2 version."
ip_lookup;"This module currently uses no deprecated code and should be compatible with Drupal 9 upon its release."
barebones;"This theme is compatible with Drupal 9."
folder_redirect;"The module is Drupal9 ready."
dis;"Compatible with Drupal 9"
google_optimize_js;"This module is Drupal 9 ready!"
toastify;"Drupal 9 is also supported!"
fb_filter;"Facebook Filter 8.x-1.1 supports Drupal 9."
save_entities;"This module is already fully compatible with Drupal 9"
commerce_btcpay;"Drupal 9 ready as of 8.x-1.0-alpha4"
graphql_node_preview;"This module is ready for Drupal 9."
corona_live_tracker;"Ported to D9"
aws_s3_key_checker;"This module is ready for Drupal 9"
geocluster;"2.0.0+ is compatible with Drupal 9"
